date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
April 27,0,4062.5,0,9500,625.0,NA,0,1000,NA,1000,NA,NA,0,NA,11000,2000,0,0,0,0,2000,0,14000,4000,0,3000,1000,0,0,0,2000,11000,9000,9000,6000,0,0,1000,16000,0,1000,0,54000,1000,0,44000
April 28,0,1875,0,7250,625.0,6000,NA,NA,0,NA,6000,3000,NA,0,4000,1000,0,0,1000,0,0,2000,16000,1000,0,1000,5000,1000,0,1000,2000,0,2000,22000,2000,0,0,1000,33000,0,1000,0,52000,0,1000,34000
April 29,0,3125,0,18875,625.0,NA,0,0,NA,52000,NA,NA,1000,NA,1000,0,0,NA,0,0,0,0,59000,0,0,2000,8000,8000,0,2000,18000,4000,1000,24000,1000,0,1000,1000,1000,0,0,0,44000,2000,0,46000
April 30,0,3437.5,0,31625,625.0,3000,NA,NA,0,NA,0,1000,NA,0,0,0,0,NA,1000,0,NA,1000,66000,0,1000,1000,11000,1000,1000,0,18000,4000,3000,42000,2000,2000,25000,0,18000,0,0,1000,29000,0,0,56000
May 1,0,7968.75,0,36875,625.0,NA,0,0,NA,31000,NA,NA,NA,NA,0,0,0,8000,NA,0,0,0,43000,0,1000,1000,19000,1000,0,0,9000,1000,1000,35000,41000,5000,92000,0,2000,0,1000,0,19000,1000,0,51000
May 2,0,7500,0,22750,1250.0,11000,NA,NA,0,NA,1000,0,NA,2000,0,0,8000,4000,2000,0,1000,1000,22000,0,1000,1000,12000,11000,0,0,1000,1000,1000,24000,79000,4000,139000,0,2000,1000,8000,0,6000,13000,0,33000
May 3,625,9062.5,0,21875,2500.0,NA,2000,0,NA,13000,NA,NA,0,NA,1000,0,33000,8000,0,0,1000,21000,9000,3000,2000,1000,5000,15000,1000,1000,1000,8000,2000,12000,65000,7000,95000,0,0,0,14000,0,4000,36000,0,17000
May 4,156.25,11718.75,0,28812.5,5468.75,23000,NA,NA,2000,NA,12000,1000,NA,0,0,0,29000,50000,0,0,0,11000,11000,28000,1000,2000,9000,29000,4000,1000,0,10000,19000,9000,13000,1000,96000,0,1000,0,12000,0,8000,78000,11000,36000
May 5,0,9218.75,0,22687.5,2812.5,44000,6000,0,NA,0,NA,NA,14000,NA,0,1000,24000,8000,0,0,0,19000,9000,26000,0,6000,0,9000,1000,1000,0,8000,22000,4000,5000,6000,99000,0,4000,0,33000,1000,11000,133000,7000,50000
May 6,0,10000,0,44000,2500.0,44000,NA,NA,1000,NA,9000,2000,NA,0,1000,0,74000,6000,0,0,NA,1000,8000,39000,0,14000,4000,26000,10000,1000,0,2000,65000,1000,6000,6000,94000,10000,21000,0,4000,2000,13000,82000,0,111000
