date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
June 28,137500,341875,104000,427750,202500.0,NA,85000,299000,NA,157000,NA,NA,109000,NA,109000,48000,135000,154000,85000,184000,NA,348000,202000,263000,366000,761000,193000,342000,1241000,401000,234000,214000,185000,536000,349000,241000,331000,302000,575000,198000,308000,457000,431000,194000,NA,NA
June 29,135625,341250,90187.5,444000,202500.0,32000,NA,NA,95000,NA,189000,48000,NA,99000,97000,37000,136000,191000,104000,192000,341000,598000,202000,362000,322000,669000,171000,306000,1123000,406000,224000,231000,146000,352000,359000,150000,NA,267000,678000,105000,272000,430000,431000,160000,215000,NA
June 30,161875,321250,72437.5,496500,221875.0,NA,64000,169000,NA,321000,NA,NA,32000,NA,166000,26000,162000,172000,126000,NA,276000,643000,332000,463000,268000,630000,222000,296000,888000,416000,250000,212000,134000,254000,392000,184000,314000,291000,594000,110000,287000,439000,367000,88000,251000,NA
July 1,169609.375,335156.25,59625,498187.5,221250.0,72000,NA,NA,60000,NA,159000,56000,NA,74000,178000,45000,168000,216000,111000,295000,192000,688000,384000,338000,481000,651000,366000,277000,943000,355000,238000,210000,175000,220000,278000,222000,328000,336000,512000,172000,242000,452000,370000,77000,255000,NA
July 2,165625,343281.25,87250,492875,267187.5,NA,127000,179000,NA,293000,NA,NA,44000,NA,227000,91000,191000,401000,79000,289000,NA,670000,348000,284000,468000,551000,342000,248000,882000,291000,297000,382000,177000,250000,NA,132000,294000,364000,517000,136000,264000,674000,341000,73000,261000,NA
July 3,182500,331250,124625,473250,258437.5,42000,NA,NA,190000,NA,291000,98000,NA,186000,288000,99000,182000,438000,135000,241000,NA,489000,331000,256000,411000,469000,351000,213000,693000,315000,276000,494000,155000,319000,312000,171000,225000,329000,525000,79000,208000,644000,312000,75000,294000,NA
July 4,169062.5,266875,126781.25,446937.5,249375.0,NA,329000,80000,NA,224000,NA,NA,167000,NA,257000,128000,253000,267000,106000,218000,246000,258000,267000,176000,331000,492000,442000,239000,508000,265000,234000,538000,145000,339000,334000,258000,256000,345000,468000,103000,254000,811000,299000,89000,248000,NA
July 5,144531.25,319375,105968.75,500000,214062.5,15000,NA,NA,87000,NA,144000,132000,NA,106000,630000,169000,149000,145000,98000,205000,326000,122000,249000,121000,391000,499000,497000,244000,510000,268000,204000,454000,163000,272000,506000,301000,254000,297000,471000,94000,359000,743000,264000,91000,232000,NA
July 6,170390.625,363906.25,124531.25,506937.5,245000.0,NA,248000,127000,NA,222000,NA,NA,144000,NA,621000,197000,130000,215000,79000,215000,294000,202000,231000,172000,366000,475000,591000,268000,464000,292000,326000,395000,293000,357000,541000,503000,259000,586000,531000,104000,508000,720000,324000,114000,340000,NA
July 7,181093.75,364687.5,115812.5,510812.5,256875.0,27000,NA,NA,44000,NA,195000,151000,NA,101000,508000,226000,80000,254000,144000,260000,335000,239000,208000,192000,291000,373000,511000,285000,381000,284000,339000,309000,401000,589000,576000,512000,226000,837000,672000,92000,428000,636000,394000,182000,244000,NA
July 8,176250,371250,126375,481000,261250.0,NA,171000,108000,NA,132000,NA,NA,111000,NA,476000,176000,174000,327000,330000,172000,445000,222000,195000,358000,272000,342000,518000,226000,407000,251000,371000,332000,261000,546000,450000,5.00E+05,188000,694000,653000,169000,511000,590000,427000,232000,208000,NA
July 9,190625,375625,113250,544375,268125.0,21000,NA,NA,44000,NA,299000,110000,NA,NA,492000,211000,217000,406000,236000,268000,361000,103000,187000,376000,191000,356000,713000,191000,525000,254000,622000,336000,242000,468000,354000,684000,279000,590000,557000,384000,539000,532000,404000,201000,248000,NA
July 10,183125,409375,101125,595000,256875.0,NA,144000,215000,NA,96000,NA,NA,178000,59000,489000,183000,251000,488000,257000,409000,378000,176000,NA,295000,162000,329000,591000,206000,610000,271000,751000,246000,348000,496000,356000,739000,244000,514000,597000,457000,489000,536000,422000,159000,134000,NA
July 11,186015.625,426718.75,122562.5,576875,254375.0,84000,NA,NA,35000,NA,203000,95000,NA,71000,454000,211000,261000,302000,235000,417000,430000,369000,209000,308000,221000,297000,573000,154000,611000,248000,729000,169000,318000,469000,556000,811000,244000,482000,1061000,304000,443000,485000,376000,181000,239000,NA
July 12,183437.5,371250,119062.5,475250,295625.0,NA,151000,90000,NA,156000,NA,NA,182000,123000,371000,206000,210000,401000,232000,364000,324000,NA,187000,296000,3.00E+05,346000,434000,158000,499000,212000,602000,332000,306000,469000,469000,652000,239000,499000,1464000,372000,369000,527000,312000,197000,357000,NA
July 13,161406.25,337812.5,110625,466375,247500.0,43000,NA,NA,80000,NA,164000,111000,NA,149000,378000,249000,202000,179000,254000,161000,289000,815000,161000,291000,218000,326000,320000,246000,644000,238000,464000,419000,196000,451000,342000,490000,287000,646000,1418000,332000,355000,371000,344000,182000,218000,NA
July 14,205312.5,404687.5,112812.5,507875,265625.0,NA,164000,131000,NA,166000,NA,NA,22000,118000,292000,404000,264000,NA,212000,267000,253000,870000,211000,282000,95000,303000,240000,349000,526000,214000,406000,602000,228000,490000,363000,5.00E+05,429000,554000,1284000,326000,289000,574000,323000,136000,264000,NA
July 15,193281.25,339531.25,107937.5,539375,270625.0,59000,NA,NA,NA,NA,211000,93000,NA,171000,272000,544000,298000,285000,99000,284000,261000,NA,201000,314000,112000,251000,239000,398000,311000,261000,338000,489000,269000,538000,346000,620000,712000,589000,996000,256000,229000,521000,281000,151000,368000,NA
July 16,210625,393750,160812.5,509000,286875.0,NA,216000,188000,NA,142000,NA,NA,99000,165000,277000,455000,394000,266000,339000,287000,229000,578000,193000,311000,282000,239000,319000,426000,298000,457000,320000,244000,211000,662000,320000,579000,492000,492000,931000,2.00E+05,231000,438000,264000,132000,424000,NA
July 17,204218.75,377968.75,151625,469500,274687.5,249000,NA,NA,76000,NA,174000,195000,NA,254000,266000,366000,319000,152000,439000,391000,269000,381000,286000,246000,468000,232000,149000,354000,244000,437000,368000,254000,280000,608000,364000,482000,575000,492000,862000,177000,325000,426000,321000,176000,520000,NA
July 18,177968.75,408437.5,142593.75,466437.5,294062.5,NA,113000,161000,NA,181000,NA,NA,101000,285000,231000,394000,237000,168000,317000,428000,232000,NA,303000,227000,413000,235000,128000,316000,443000,407000,471000,355000,513000,NA,311000,502000,464000,554000,720000,244000,302000,474000,401000,144000,380000,NA
July 19,155625,344375,104375,481375,249375.0,NA,NA,NA,46000,NA,156000,103000,NA,232000,204000,411000,134000,184000,232000,303000,208000,NA,3.00E+05,341000,268000,199000,79000,250000,547000,344000,446000,346000,706000,770000,249000,465000,339000,480000,629000,266000,312000,526000,493000,476000,368000,NA
July 20,137031.25,284375,105093.75,498250,215000.0,NA,96000,138000,NA,69000,NA,NA,109000,221000,212000,NA,127000,134000,157000,218000,208000,NA,236000,232000,212000,239000,82000,169000,706000,328000,373000,336000,788000,592000,261000,458000,270000,496000,571000,259000,315000,430000,544000,3.00E+05,424000,NA
July 21,167812.5,396093.75,105750,554812.5,225781.25,188000,NA,NA,195000,NA,244000,90000,NA,254000,189000,NA,112000,138000,163000,211000,NA,461000,131000,220000,169000,248000,56000,191000,549000,246000,384000,457000,722000,568000,236000,431000,568000,448000,422000,346000,418000,396000,713000,176000,329000,NA
July 22,171875,373750,112125,474500,210625.0,NA,24000,309000,NA,77000,NA,NA,347000,190000,223000,116000,148000,145000,156000,215000,NA,475000,211000,195000,199000,186000,56000,198000,396000,308000,434000,784000,758000,444000,174000,474000,374000,447000,395000,3.00E+05,376000,443000,603000,88000,199000,NA
July 23,177187.5,353750,102250,476750,240000.0,395000,NA,NA,149000,NA,306000,101000,NA,102000,226000,NA,338000,191000,214000,256000,291000,471000,194000,228000,351000,158000,94000,233000,318000,474000,240000,929000,634000,392000,163000,411000,489000,561000,356000,223000,411000,445000,592000,141000,174000,NA
July 24,144375,332500,86000,428375,239375.0,NA,30000,398000,NA,45000,NA,NA,8000,144000,244000,NA,249000,98000,289000,274000,192000,223000,179000,224000,401000,239000,104000,131000,332000,359000,231000,986000,659000,350000,70000,322000,537000,548000,386000,346000,379000,332000,569000,227000,92000,NA
July 25,172500,319531.25,76125,505750,236562.5,351000,NA,NA,256000,NA,193000,79000,NA,184000,208000,NA,311000,70000,191000,385000,287000,NA,137000,276000,482000,464000,220000,122000,212000,239000,303000,896000,582000,346000,136000,262000,560000,534000,312000,510000,366000,271000,504000,449000,54000,NA
July 26,120625,281875,61750,480125,236250.0,NA,49000,69000,NA,39000,NA,NA,29000,178000,188000,62000,438000,105000,236000,265000,261000,NA,121000,267000,467000,338000,264000,221000,148000,257000,115000,754000,628000,309000,272000,282000,533000,469000,309000,632000,539000,225000,534000,537000,82000,NA
July 27,140625,287500,70625,443250,224375.0,408000,NA,NA,59000,NA,228000,39000,NA,150000,124000,177000,434000,142000,NA,226000,198000,439000,141000,288000,412000,298000,224000,248000,138000,204000,79000,656000,586000,246000,276000,260000,461000,475000,439000,624000,428000,222000,494000,521000,72000,NA
July 28,112500,288750,77250,368812.5,180312.5,NA,136000,222000,NA,108000,NA,NA,30000,154000,140000,84000,459000,147000,102000,173000,169000,359000,98000,235000,324000,352000,244000,291000,186000,128000,79000,619000,524000,235000,281000,174000,339000,522000,549000,531000,417000,90000,407000,469000,167000,NA
July 29,85625,286250,64125,407625,170000.0,178000,NA,NA,50000,NA,166000,78000,NA,132000,88000,65000,386000,61000,86000,118000,186000,NA,67000,170000,286000,416000,461000,279000,248000,212000,91000,606000,406000,286000,338000,208000,393000,406000,1178000,286000,327000,167000,3.00E+05,391000,171000,NA
July 30,109375,270000,73000,431250,202500.0,NA,1.00E+05,109000,NA,33000,NA,NA,15000,121000,114000,147000,223000,68000,76000,202000,178000,214000,86000,166000,270000,427000,808000,239000,241000,268000,102000,565000,318000,304000,449000,204000,327000,382000,1039000,279000,292000,125000,189000,362000,511000,NA
July 31,147500,278750,73000,369500,205625.0,92000,NA,NA,NA,NA,136000,71000,NA,148000,173000,257000,276000,108000,61000,206000,159000,329000,109000,279000,349000,341000,619000,190000,281000,275000,164000,450000,266000,255000,229000,181000,488000,479000,1071000,347000,212000,103000,144000,338000,724000,NA
August 1,148750,346875,84875,435000,223125.0,NA,NA,242000,NA,114000,NA,NA,5000,86000,213000,158000,429000,156000,82000,164000,164000,291000,91000,283000,460000,373000,461000,284000,224000,223000,252000,369000,396000,213000,347000,149000,486000,396000,826000,591000,251000,87000,115000,351000,517000,NA
August 2,119375,319218.75,85062.5,402375,179218.75,131000,NA,NA,96000,NA,109000,62000,NA,86000,378000,154000,388000,286000,117000,151000,138000,308000,80000,219000,399000,301000,515000,302000,171000,186000,228000,338000,492000,141000,323000,127000,435000,412000,719000,424000,257000,117000,121000,239000,408000,NA
August 3,96250,300625,80562.5,381750,171250.0,NA,118000,103000,NA,92000,NA,NA,151000,114000,211000,90000,319000,208000,85000,2.00E+05,83000,196000,67000,192000,289000,494000,394000,379000,171000,96000,155000,301000,419000,98000,347000,131000,358000,378000,679000,336000,279000,165000,177000,206000,282000,NA
August 4,81093.75,292031.25,53062.5,373437.5,141406.25,59000,NA,NA,NA,NA,31000,44000,NA,132000,141000,62000,328000,274000,62000,208000,NA,349000,50000,159000,280000,521000,157000,438000,131000,54000,106000,242000,384000,134000,369000,88000,355000,333000,704000,273000,169000,173000,177000,174000,2.00E+05,NA
August 5,67187.5,250000,35500,424000,121250.0,NA,63000,81000,NA,28000,NA,NA,133000,119000,196000,69000,474000,102000,38000,114000,NA,309000,32000,56000,212000,466000,66000,505000,121000,224000,108000,204000,362000,138000,396000,NA,276000,233000,765000,221000,122000,169000,172000,173000,219000,NA
August 6,66875,290000,57375,362750,125000.0,51000,NA,NA,61000,NA,54000,18000,NA,242000,68000,96000,349000,NA,67000,62000,294000,339000,89000,76000,81000,507000,60000,479000,125000,409000,134000,146000,290000,233000,351000,163000,224000,249000,849000,218000,128000,216000,181000,168000,122000,NA
August 7,65000,305000,25000,379375,160000.0,NA,58000,35000,NA,8000,NA,NA,17000,349000,57000,75000,373000,167000,75000,67000,143000,464000,65000,26000,161000,404000,165000,353000,160000,6.00E+05,66000,140000,232000,306000,305000,191000,204000,288000,1024000,169000,1.00E+05,138000,171000,236000,204000,NA
August 8,53125,234062.5,21875,353500,108750.0,44000,NA,NA,NA,NA,54000,22000,NA,420000,51000,54000,262000,72000,95000,80000,92000,NA,25000,22000,121000,437000,153000,325000,158000,526000,96000,138000,228000,228000,254000,176000,276000,256000,739000,81000,93000,74000,166000,251000,458000,NA
August 9,68125,212500,34250,289750,116250.0,NA,13000,21000,NA,5000,NA,NA,16000,367000,96000,51000,129000,108000,142000,68000,77000,439000,67000,71000,95000,241000,202000,253000,114000,288000,116000,126000,212000,145000,258000,122000,296000,329000,524000,71000,136000,170000,2.00E+05,178000,499000,NA
August 10,55000,169531.25,23625,255937.5,110937.5,18000,NA,NA,24000,NA,48000,53000,NA,166000,1.00E+05,54000,230000,132000,238000,57000,62000,259000,86000,69000,44000,91000,208000,295000,96000,162000,123000,171000,144000,144000,256000,122000,438000,364000,294000,141000,312000,122000,305000,180000,348000,NA
August 11,62031.25,170781.25,16656.25,288312.5,113593.75,NA,18000,12000,NA,4000,NA,NA,7000,104000,173000,42000,NA,64000,128000,77000,NA,298000,48000,567000,91000,80000,178000,284000,74000,128000,170000,152000,161000,205000,136000,87000,346000,303000,146000,250000,225000,81000,329000,167000,242000,NA
August 12,62656.25,205625,34718.75,299125,114687.5,60000,NA,NA,12000,NA,62000,192000,NA,65000,145000,50000,99000,79000,189000,7000,148000,273000,46000,734000,154000,110000,110000,237000,81000,156000,459000,210000,261000,342000,97000,119000,294000,146000,150000,214000,135000,45000,304000,114000,3.00E+05,NA
August 13,47500,194375,29750,314187.5,84375.0,NA,13000,62000,NA,16000,NA,NA,84000,47000,134000,29000,NA,30000,104000,31000,126000,NA,35000,604000,48000,126000,74000,188000,66000,206000,724000,69000,233000,354000,113000,75000,201000,79000,94000,216000,217000,31000,249000,116000,258000,NA
August 14,47500,187031.25,28875,300250,110312.5,4000,NA,NA,2000,NA,NA,383000,NA,94000,124000,14000,NA,34000,49000,161000,109000,135000,18000,409000,51000,119000,37000,151000,35000,236000,289000,83000,326000,269000,112000,179000,210000,50000,65000,144000,175000,38000,152000,188000,240000,NA
August 15,65625,146250,33000,230625,80625.0,NA,4000,72000,NA,68000,NA,NA,78000,NA,91000,64000,32000,18000,76000,75000,127000,71000,18000,227000,103000,52000,49000,149000,34000,99000,224000,81000,556000,220000,143000,96000,243000,48000,182000,34000,117000,39000,63000,79000,236000,NA
August 16,53906.25,155468.75,33125,238125,82187.5,44000,NA,NA,NA,NA,NA,89000,NA,NA,55000,76000,26000,NA,26000,36000,138000,40000,30000,169000,81000,84000,54000,161000,68000,238000,308000,48000,721000,229000,126000,84000,238000,32000,202000,50000,156000,33000,117000,42000,136000,NA
August 17,36875,125000,32562.5,174250,63125.0,NA,19000,132000,NA,52000,NA,NA,30000,36000,37000,64000,34000,14000,37000,33000,152000,121000,55000,62000,113000,81000,112000,114000,149000,190000,302000,31000,707000,122000,46000,61000,168000,68000,222000,26000,293000,71000,89000,37000,128000,NA
August 18,30000,122500,15250,258125,53125.0,48000,NA,NA,6000,NA,NA,5000,NA,28000,30000,38000,31000,6000,18000,55000,122000,27000,58000,88000,130000,52000,257000,58000,157000,50000,298000,48000,419000,150000,53000,24000,263000,50000,255000,22000,241000,68000,85000,64000,77000,NA
August 19,21250,101875,12500,286125,46875.0,NA,2000,13000,NA,16000,NA,NA,109000,31000,43000,12000,102000,7000,35000,21000,59000,97000,46000,47000,62000,45000,285000,13000,71000,58000,291000,50000,292000,158000,139000,26000,372000,54000,216000,3000,274000,22000,112000,49000,64000,NA
August 20,18593.75,81093.75,11687.5,272062.5,35625.0,19000,NA,NA,19000,NA,NA,16000,NA,39000,27000,1000,77000,8000,18000,19000,21000,NA,13000,42000,35000,26000,462000,24000,36000,179000,261000,60000,299000,94000,169000,46000,454000,34000,144000,6000,494000,52000,85000,26000,24000,NA
August 21,16250,112500,12125,234250,28125.0,NA,21000,12000,NA,2000,NA,NA,16000,24000,43000,11000,15000,26000,10000,44000,21000,144000,19000,24000,46000,78000,494000,22000,29000,222000,180000,33000,281000,112000,148000,28000,326000,30000,109000,8000,414000,37000,79000,62000,24000,NA
August 22,15000,95625,7937.5,141625,31875.0,52000,NA,NA,11000,NA,NA,11000,NA,9000,91000,25000,4000,20000,8000,117000,16000,96000,15000,20000,50000,92000,371000,54000,32000,118000,126000,19000,203000,99000,72000,16000,246000,37000,114000,8000,238000,7000,76000,79000,8000,NA
August 23,9375,80625,5000,148625,31875.0,NA,83000,2000,NA,3000,NA,NA,81000,9000,62000,9000,6000,74000,5000,139000,28000,56000,19000,15000,32000,12000,177000,133000,38000,87000,148000,5000,151000,42000,42000,8000,201000,12000,76000,9000,184000,5000,76000,71000,14000,NA
August 24,13125,63125,6125,180375,31250.0,62000,NA,NA,9000,NA,NA,16000,NA,13000,14000,3000,2000,60000,40000,197000,18000,54000,48000,7000,31000,29000,116000,177000,63000,232000,91000,31000,87000,39000,18000,7000,194000,42000,1.00E+05,22000,185000,6000,116000,58000,49000,NA
August 25,7500,81250,3625,131375,23125.0,NA,51000,3000,NA,12000,NA,NA,4000,NA,32000,3000,NA,2000,21000,129000,NA,NA,109000,7000,23000,8000,81000,133000,60000,314000,89000,60000,59000,22000,12000,11000,202000,64000,97000,52000,65000,9000,252000,75000,36000,NA
August 26,8125,51562.5,4812.5,108250,29375.0,4000,NA,NA,0,NA,29000,56000,NA,NA,48000,0,NA,18000,8000,56000,15000,NA,107000,8000,39000,20000,41000,108000,31000,414000,42000,44000,29000,109000,18000,7000,139000,82000,92000,29000,20000,40000,252000,66000,7000,NA
August 27,7812.5,44218.75,1250,104687.5,20625.0,NA,22000,12000,NA,1000,NA,NA,0,NA,1000,48000,25000,3000,7000,31000,NA,17000,79000,21000,32000,15000,20000,64000,6000,602000,19000,36000,8000,164000,43000,10000,217000,195000,30000,24000,19000,16000,186000,25000,6000,NA
August 28,7500,38125,2250,118000,21250.0,12000,NA,NA,0,NA,91000,0,NA,16000,1000,46000,10000,2000,8000,38000,24000,27000,53000,24000,29000,21000,10000,56000,4000,568000,11000,15000,33000,228000,28000,5000,258000,240000,NA,7000,22000,76000,152000,18000,7000,NA
August 29,3750,32500,875,91375,10000.0,NA,22000,0,NA,NA,NA,NA,32000,8000,14000,44000,9000,1000,1000,10000,10000,29000,41000,7000,8000,18000,14000,58000,2000,436000,4000,3000,29000,246000,21000,8000,208000,268000,15000,1000,69000,261000,111000,139000,12000,NA
August 30,4218.75,24531.25,2937.5,113437.5,10937.5,7000,NA,NA,4000,NA,34000,2000,NA,4000,11000,13000,10000,NA,9000,8000,2000,11000,15000,3000,4000,25000,24000,107000,5000,4.00E+05,15000,1000,42000,137000,18000,4000,129000,158000,16000,1000,44000,229000,112000,197000,6000,NA
August 31,2500,38750,1250,61812.5,8125.0,NA,2000,9000,NA,0,NA,NA,16000,5000,5000,4000,52000,2000,1000,67000,1000,12000,18000,1000,2000,9000,61000,56000,6000,349000,5000,8000,46000,50000,12000,2000,81000,76000,22000,4000,28000,128000,27000,149000,7000,NA
September 1,3125,35000,1500,93500,13125.0,0,NA,NA,0,NA,2000,3000,NA,9000,8000,12000,32000,3000,0,115000,5000,NA,37000,8000,27000,3000,88000,38000,3000,202000,16000,13000,35000,23000,21000,3000,148000,19000,61000,21000,29000,39000,26000,64000,6000,NA
September 2,1875,55937.5,562.5,97187.5,11875.0,NA,14000,73000,NA,0,NA,NA,12000,4000,5000,24000,2000,6000,0,82000,2000,62000,36000,14000,96000,1000,77000,38000,1000,152000,11000,34000,8000,12000,106000,2000,264000,8000,71000,2000,24000,52000,18000,21000,15000,NA
September 3,2187.5,46875,0,92937.5,10937.5,1000,NA,NA,0,NA,46000,0,NA,3000,20000,9000,26000,8000,0,126000,2000,79000,13000,30000,83000,1000,17000,47000,0,91000,9000,59000,6000,8000,108000,1000,242000,5000,25000,2000,23000,88000,4000,10000,16000,NA
September 4,2656.25,66093.75,1125,98437.5,9687.5,NA,5000,21000,NA,0,NA,NA,6000,6000,5000,2000,2000,140000,1000,91000,1000,68000,8000,97000,29000,1000,29000,12000,3000,62000,4000,112000,18000,13000,68000,4000,225000,34000,21000,4000,76000,144000,3000,1000,7000,NA
September 5,2500,38125,0,126375,10312.5,1000,NA,NA,0,NA,124000,0,NA,8000,38000,1000,0,151000,8000,137000,1000,NA,4000,83000,15000,0,56000,14000,2000,20000,3000,101000,27000,8000,36000,5000,172000,30000,18000,152000,66000,101000,1000,2000,9000,NA
September 6,625,46093.75,0,92125,10937.5,NA,8000,0,NA,0,NA,NA,34000,4000,20000,0,6000,40000,3000,1.00E+05,1000,61000,6000,48000,12000,0,33000,22000,133000,5000,1000,62000,10000,16000,187000,0,91000,12000,11000,169000,43000,108000,8000,14000,8000,NA
September 7,2031.25,37656.25,0,65312.5,8750.0,0,NA,NA,0,NA,39000,1000,NA,6000,65000,7000,2000,16000,2000,49000,1000,34000,9000,7000,9000,0,12000,10000,248000,19000,4000,41000,4000,11000,132000,0,68000,2000,11000,26000,35000,80000,11000,14000,5000,NA
September 8,2031.25,23750,281.25,46812.5,9687.5,NA,14000,0,NA,1000,NA,NA,66000,4000,26000,25000,1000,11000,1000,22000,2000,12000,24000,5000,3000,0,18000,46000,69000,21000,4000,20000,3000,8000,58000,2000,41000,4000,6000,15000,40000,35000,11000,1000,8000,NA
September 9,1406.25,25937.5,562.5,43500,10625.0,1000,NA,NA,0,NA,4000,0,NA,6000,21000,26000,1000,21000,0,25000,1000,12000,47000,4000,2000,1000,9000,39000,59000,14000,1000,13000,6000,30000,29000,1000,43000,8000,7000,9000,29000,16000,3000,0,10000,NA
September 10,2812.5,19375,0,42500,9375.0,NA,2000,41000,NA,6000,NA,NA,88000,10000,9000,32000,0,19000,1000,8000,NA,13000,151000,4000,1000,0,8000,25000,48000,11000,4000,0,3000,11000,11000,11000,29000,4000,8000,8000,18000,NA,2000,5000,11000,NA
September 11,625,14375,0,33750,6875.0,0,NA,NA,0,NA,2000,0,NA,2000,9000,2000,1000,21000,0,6000,NA,12000,191000,7000,0,0,11000,12000,45000,11000,1000,0,7000,0,17000,14000,28000,3000,55000,2000,12000,9000,4000,2000,6000,NA
September 12,859.375,16718.75,0,27812.5,9375.0,NA,2000,21000,NA,11000,NA,NA,11000,3000,9000,1000,NA,NA,0,11000,0,30000,239000,10000,0,1000,12000,64000,27000,16000,1000,0,1000,0,16000,20000,18000,1000,63000,1000,14000,4000,4000,1000,3000,NA
September 13,625,12500,0,28875,5625.0,0,NA,NA,0,NA,0,2000,NA,2000,29000,0,0,5000,0,10000,8000,29000,131000,NA,0,1000,8000,27000,94000,8000,1000,1000,2000,0,12000,6000,19000,1000,25000,0,19000,1000,2000,2000,2000,NA
September 14,1250,15156.25,562.5,37562.5,6562.5,NA,2000,9000,NA,9000,NA,NA,4000,3000,38000,1000,1000,7000,0,16000,11000,58000,29000,2000,1000,0,30000,10000,102000,38000,2000,1000,24000,1000,14000,6000,8000,1000,13000,1000,20000,1000,3000,161000,2000,NA
September 15,1250,16250,0,31500,7656.25,0,NA,NA,0,NA,2000,2000,NA,8000,14000,2000,1000,11000,0,22000,2000,31000,49000,1000,1000,0,17000,14000,77000,14000,0,26000,34000,1000,11000,1000,10000,2000,20000,0,19000,NA,6000,263000,2000,NA
September 16,937.5,15625,0,21750,6875.0,NA,2000,4000,NA,7000,NA,NA,48000,9000,16000,0,1000,NA,0,10000,4000,19000,21000,1000,0,0,16000,10000,36000,9000,0,7000,4000,11000,16000,7000,26000,1000,11000,9000,10000,16000,6000,168000,2000,NA
September 17,625,9218.75,0,13812.5,3906.25,0,NA,NA,0,NA,0,0,NA,NA,6000,NA,0,2000,0,12000,2000,17000,11000,1000,1000,1000,9000,4000,18000,7000,0,1000,6000,6000,12000,1000,11000,11000,11000,2000,11000,15000,1000,52000,0,NA
September 18,625,4375,0,11500,1875.0,NA,1000,4000,NA,1000,NA,NA,4000,2000,7000,0,NA,2000,0,11000,1000,29000,2000,1000,1000,1000,3000,3000,15000,45000,0,1000,8000,1000,4000,1000,6000,8000,12000,1000,8000,6000,5000,6000,0,NA
September 19,0,8750,0,17000,1250.0,0,NA,NA,0,NA,0,1000,NA,1000,4000,0,0,NA,0,6000,10000,20000,0,14000,1000,0,42000,1000,16000,32000,0,2000,9000,1000,6000,0,9000,2000,8000,2000,4000,4000,4000,0,0,NA
September 20,0,5937.5,0,12812.5,1250.0,NA,7000,0,NA,0,NA,NA,0,2000,1000,0,0,1000,0,4000,18000,12000,1000,11000,1000,9000,26000,2000,16000,5000,0,1000,4000,1000,11000,0,6000,1000,38000,28000,19000,8000,1000,0,2000,NA
September 21,625,6875,0,18625,3125.0,2000,NA,NA,0,NA,0,4000,NA,1000,18000,0,0,6000,4000,8000,4000,NA,6000,34000,1000,21000,10000,1000,18000,59000,1000,2000,4000,1000,3000,0,7000,1000,121000,107000,22000,23000,0,0,2000,NA
September 22,0,8750,0,16750,1875.0,NA,0,0,NA,0,NA,NA,2000,2000,NA,0,0,2000,0,8000,NA,12000,8000,42000,0,14000,6000,2000,19000,16000,1000,2000,48000,0,1000,0,14000,1000,31000,10000,16000,2000,0,3000,3000,NA
September 23,0,8906.25,0,16187.5,1093.75,0,NA,NA,0,NA,0,0,NA,2000,9000,0,0,NA,NA,9000,4000,14000,0,20000,0,0,4000,5000,16000,8000,0,0,33000,0,0,1000,18000,0,20000,5000,22000,1000,0,0,1000,NA
September 24,0,9531.25,0,20750,3125.0,NA,0,0,NA,18000,NA,NA,0,14000,NA,0,0,0,6000,10000,0,11000,1000,3000,8000,50000,118000,8000,71000,8000,1000,0,3000,3000,0,0,16000,0,11000,9000,17000,1000,0,0,0,NA
September 25,625,13125,0,22125,7500.0,0,NA,NA,0,NA,1000,0,NA,8000,5000,0,15000,NA,11000,8000,2000,9000,0,1000,16000,31000,48000,12000,18000,51000,2000,0,8000,13000,1000,1000,20000,0,63000,2000,14000,0,4000,0,1000,NA
September 26,0,13281.25,0,19750,1562.5,NA,1000,0,NA,0,NA,NA,0,4000,6000,1000,19000,1000,0,12000,NA,NA,0,2000,7000,0,21000,12000,16000,61000,1000,0,17000,28000,1000,1000,19000,0,24000,0,12000,0,1000,0,0,NA
September 27,78.125,7343.75,0,12125,2500.0,0,NA,NA,0,NA,3000,2000,NA,4000,9000,0,5000,1000,1000,8000,2000,14000,0,0,1000,0,17000,7000,11000,9000,6000,0,12000,2000,6000,2000,17000,0,26000,0,4000,1000,2000,0,1000,NA
September 28,625,6093.75,0,10312.5,1875.0,NA,1000,1000,NA,0,NA,NA,0,7000,6000,1000,1000,2000,0,6000,1000,19000,1000,0,6000,4000,14000,5000,13000,9000,3000,0,4000,0,10000,1000,7000,0,13000,4000,4000,0,2000,6000,3000,NA
September 29,390.625,5937.5,0,12500,937.5,0,NA,NA,0,NA,1000,0,NA,1000,5000,1000,1000,1000,1000,8000,2000,18000,1000,0,5000,0,12000,4000,12000,162000,1000,0,8000,2000,9000,0,6000,0,11000,18000,4000,0,2000,4000,0,NA
September 30,0,5000,0,12750,625.0,NA,0,0,NA,0,NA,NA,2000,1000,6000,NA,1000,1000,0,5000,0,12000,0,2000,3000,0,5000,1000,14000,171000,0,8000,14000,0,3000,1000,9000,2000,11000,22000,9000,0,1000,0,1000,NA
