year,eng_gb_2012,eng_us_2012,fre_2012,ger_2012,heb_2012,rus_2012,spa_2012
1930,6.478673739707119E-7,8.435393255012968E-7,0.0000013159491487613195,9.396338782607927E-7,5.122884640940129E-7,0.0000035330372725184134,0.0000013887509027199485
1931,7.475791960587231E-7,8.296262876683613E-7,0.0000011409923729388539,8.877090067471727E-7,4.0983077127521027E-7,0.000003005099017627799,0.000001355452388906997
1932,8.679186625689302E-7,0.0000011186957635800354,0.000001136784064215135,0.0000011116275686617882,6.102721184693868E-7,0.000002903076098922005,0.0000013261855826840474
1933,8.55085297806519E-7,0.0000011323922178365007,0.0000011625770517704431,0.0000011991036217295914,5.319943911428839E-7,0.000003056296472030746,0.0000013561481750912208
1934,7.791203699980542E-7,0.000001651257134329041,0.0000012022433963920776,0.0000011971244475716958,5.246445106925941E-7,0.000003206819420548917,0.0000012595182121393528
1935,8.689183264972858E-7,0.000001912029493463966,0.000001323534957821591,0.000001176002854208491,5.81984592835332E-7,0.0000033211501642784114,0.0000014990585392687145
1936,0.0000011681088096793246,0.0000020748783120844953,0.0000024892149903215407,0.0000012797928385615315,6.897986202553901E-7,0.0000025796349275099473,0.0000017392544902707283
1937,0.0000015693116048558814,0.000002414047060028679,0.000005812384508934494,0.0000015438658351740742,5.0371217140212E-7,0.0000023623569355939774,0.0000023505738064549016
1938,0.0000021426663222103215,0.0000027969976892044154,0.000006508474679581663,0.0000016148421033384302,5.810610090861701E-7,0.000004145096568208828,0.000003264167893186303
1939,0.0000024272990393520947,0.000003740558521972811,0.000007658970292011094,0.00000164241918452847,5.269492250801835E-7,0.000004823378942221877,0.000004052038077263985
1940,0.0000033085066206695046,0.00000500151590391137,0.00001176418106751953,0.000002107174810004965,0.0000010248323972307714,0.0000059469197140060714,0.000006647909539684146
1941,0.000004780428980666329,0.0000065054165198879284,0.00002142021328056996,0.0000041067872952485885,0.0000027973729126123156,0.000009270962160761493,0.00001336372679361375
1942,0.000010883412025058143,0.000017443970656521352,0.00006269022573438374,0.00002681900879711715,0.000007361381701035238,0.00007844998791434981,0.00005033441298759759
1943,0.000018994686375403296,0.000030552861744581605,0.000096043669795368,0.00005006379309894068,0.000010589638155319595,0.00010915569870511328,0.00008042264166111377
1944,0.00002665117189540719,0.000045403836760929804,0.00011567932935057408,0.00006812461775293091,0.00001610815432481364,0.00012257779904497772,0.00010056745408551901
1946,0.000045536690712261975,0.00007359788872106167,0.0001507493915206786,0.00010113691814694903,0.00002122766295542533,0.00013756073609069323,0.00012578461584260886
1947,0.00005186337810820467,0.00008518247925946656,0.00016340467118425295,0.00011898197343335986,0.0000233660187274966,0.00014608741548727266,0.00013380317354208922
1948,0.00005730323391617276,0.00009610268690656605,0.00016861830538670932,0.00013505649569976543,0.00002354635112819129,0.0001502563723728859,0.0001366110030046132
1949,0.00005771460824429856,0.00009675212952840541,0.00014260518842742646,0.00012910402853906686,0.000020792202121810988,0.00008747516559586594,0.00010866114878029163
1950,0.00005680775107716077,0.00009475710144865193,0.00012139800985875939,0.00012322146877912537,0.00001953812092584225,0.00006337476224871352,0.00008705114201542788
1951,0.00005592455480447305,0.00009038448583201639,0.0001115916612824159,0.00012143191166355141,0.000015381612034356556,0.000057656103308545426,0.00007377742232555258
1952,0.0000529392267968173,0.00008637478770521869,0.00010311899261848469,0.00012248877465026453,0.00001478818856932256,0.00005456637414421753,0.000068574735321038
1953,0.000049642784038691646,0.00008085410393375372,0.00009736403652433572,0.0001234741898120514,0.000013437101058246168,0.000051635822144037646,0.00006326069550206219
1954,0.00004932072468883624,0.00007621607385642295,0.00009108798362181656,0.00012037604756187648,0.00001200714138706514,0.00004831455693679995,0.000059250223005489844
1955,0.00004849599749182484,0.0000713350361495811,0.00008558823485925262,0.00011633972462732345,0.000011834378840701123,0.00004726965406527077,0.00005628294872751992
1956,0.00004831059257932273,0.00006687292833313612,0.00007844697393011302,0.00011625664982212973,0.000011538421728930968,0.000046451269944165165,0.000053513366895328674
1957,0.000047142878819223757,0.0000624793023494671,0.00007305514580886146,0.00011532210711655872,0.000011264216482231859,0.000045860485053188836,0.0000497329378309327
1958,0.00004609546782116273,0.00005851147579960525,0.00006738626117502073,0.0001153224813086646,0.000012449317312400257,0.00004363572173003506,0.0000477333804675644
1959,0.000044912691269668615,0.00005491122699043315,0.00006287671099666372,0.00011231737984676979,0.000011550547891861892,0.00004310804589684787,0.00004357050680222788
1960,0.000044211554008403,0.00005156647655115064,0.00005896959503713463,0.0001081898995575362,0.000011805991432213756,0.000042842150183527595,0.00004129139519396371
1961,0.00004380967168669615,0.00004919963248539716,0.00005598227965362769,0.00010696705014977072,0.000012135309589211829,0.000041788574370522315,0.000039534634977046933
1962,0.00004340766307515358,0.00004707338666776195,0.000053539492260564915,0.00010777124303526111,0.000011758198525058106,0.00004149639426032081,0.00003800049515640629
1963,0.00004324214335481104,0.00004581122578071829,0.00005200948050644781,0.00010579205367581121,0.000011512271417554335,0.00004057330391203452,0.00003656020895245352
1964,0.00004232791720174386,0.000044562933388598526,0.000050566776605722096,0.00010143321664405189,0.000010809592822624836,0.00004022253259401103,0.00003621443933557852
1965,0.00004181957982447264,0.00004279958479206211,0.000048551761470402456,0.00009710919403005391,0.000009321035187375465,0.000039071847173285536,0.000034835661478739765
1966,0.00004121637643298267,0.00004021281139492723,0.00004705315119021439,0.00009531896648695692,0.00001136828151564779,0.00003910508478708964,0.000034036654791894504
1967,0.00004084963542741856,0.00003869666709631149,0.00004576228041384768,0.00009394042405931811,0.000011560504260290014,0.000042322307958134585,0.000033027162966651046
1968,0.00003972062248586943,0.000038131865169686663,0.000043602297020178025,0.00009087016431814326,0.000012968162861527941,0.00004084029725553202,0.00003241929308777409
1969,0.00003979900325897948,0.00003679424220795876,0.00004264979621179269,0.00008770451469380143,0.000013537116891321993,0.000038427542416944303,0.00003107440404294591
1970,0.00003820405254373327,0.00003573479833513764,0.00004158035465349842,0.00008345872317607115,0.000014304330241949564,0.000037828960297961854,0.000030196811816754883
1971,0.00003832463439071684,0.000034671877074288204,0.00004011348054128965,0.00008283843323754678,0.00001509423002841816,0.00003633193669624494,0.000029483278662415353
1972,0.00003799857378388489,0.00003374457732466648,0.00003981077315984294,0.00008354683606220143,0.00001567937228433688,0.00003791969980479085,0.000028954668908097248
1973,0.000037705096474383026,0.00003371409002284054,0.000039479956155576345,0.00008344410265895672,0.000014346578349691949,0.000037099298164581084,0.000028705457485297563
